==87120== NVPROF is profiling process 87120, command: ./lassen-executable/bfs_111100 ../../data/bfs/graph1MW_6.txt
==87120== Profiling application: ./lassen-executable/bfs_111100 ../../data/bfs/graph1MW_6.txt
Reading File
alloc h_graph_nodes
Number of allocated Data = 1
in api range: 0x200060000000 0x2000607a1200
alloc h_graph_mask
Number of allocated Data = 2
in api range: 0x200060800000 0x2000608f4240
alloc h_updating_graph_mask
Number of allocated Data = 3
in api range: 0x2000608f4400 0x2000609e8640
alloc h_graph_visited
Number of allocated Data = 4
in api range: 0x200060a00000 0x200060af4240
alloc h_graph_edges
Read File
Number of allocated Data = 5
in api range: 0x200060c00000 0x200060fd0900
Copied Everything to GPU memory
Start traversing the tree
Kernel Executed 12 times
Result stored in result.txt
==87120== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream        Unified Memory  Virtual Address  Name
587.47ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004334   0x200060a10000  [Unified Memory CPU page faults]
597.82ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004330   0x200060910000  [Unified Memory CPU page faults]
601.61ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060100000  [Unified Memory CPU page faults]
601.74ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x1000432c   0x200060820000  [Unified Memory CPU page faults]
601.77ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004334   0x200060a20000  [Unified Memory CPU page faults]
612.27ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004330   0x200060920000  [Unified Memory CPU page faults]
630.73ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060200000  [Unified Memory CPU page faults]
630.80ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x1000432c   0x200060840000  [Unified Memory CPU page faults]
630.88ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004334   0x200060a40000  [Unified Memory CPU page faults]
632.76ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060210000  [Unified Memory CPU page faults]
634.63ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060220000  [Unified Memory CPU page faults]
638.29ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060240000  [Unified Memory CPU page faults]
641.73ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004330   0x200060940000  [Unified Memory CPU page faults]
645.63ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060280000  [Unified Memory CPU page faults]
660.22ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060300000  [Unified Memory CPU page faults]
689.40ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060400000  [Unified Memory CPU page faults]
689.46ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x1000432c   0x200060880000  [Unified Memory CPU page faults]
689.60ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004334   0x200060a80000  [Unified Memory CPU page faults]
691.51ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060410000  [Unified Memory CPU page faults]
693.38ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060420000  [Unified Memory CPU page faults]
697.07ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060440000  [Unified Memory CPU page faults]
704.40ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060480000  [Unified Memory CPU page faults]
719.01ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060500000  [Unified Memory CPU page faults]
748.19ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060600000  [Unified Memory CPU page faults]
750.08ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060610000  [Unified Memory CPU page faults]
751.95ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060620000  [Unified Memory CPU page faults]
755.64ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060640000  [Unified Memory CPU page faults]
762.97ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060680000  [Unified Memory CPU page faults]
777.61ms         -                    -               -         -         -         -         -           -           -           -                -         -         -         PC 0x10004324   0x200060700000  [Unified Memory CPU page faults]
2.31982s  1.8948ms                    -               -         -         -         -  22.888MB  11.796GB/s    Pageable      Device  Tesla V100-SXM2         1         7                     -                -  [CUDA memcpy HtoD]
2.32291s  687.93us                    -               -         -         -         -  3.8147MB  5.4152GB/s    Pageable     Managed  Tesla V100-SXM2         1         7                     -                -  [CUDA memcpy HtoD]
2.32293s  195.07us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -                    18   0x200060c00000  [Unified Memory GPU page faults]
2.32315s  82.080us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -                    28   0x200060d00000  [Unified Memory GPU page faults]
2.32325s  216.99us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -                    41   0x200060e00000  [Unified Memory GPU page faults]
2.32349s  117.79us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -                    63   0x200060f00000  [Unified Memory GPU page faults]
2.32431s  1.7920us                    -               -         -         -         -        1B  544.96KB/s    Pageable      Device  Tesla V100-SXM2         1         7                     -                -  [CUDA memcpy HtoD]
2.32433s  891.19us           (1954 1 1)       (512 1 1)        21        0B        0B         -           -           -           -  Tesla V100-SXM2         1         7                     -                -  Kernel(Node*, int*, bool*, bool*, bool*, int*, int) [426]
2.32435s  273.82us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -                   171   0x200060800000  [Unified Memory GPU page faults]
2.32455s  4.6080us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          128.000000KB   0x200060800000  [Unified Memory Memcpy HtoD]
2.32462s  108.80us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -                   213   0x200060820000  [Unified Memory GPU page faults]
2.32471s  3.4560us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060820000  [Unified Memory Memcpy HtoD]
2.32472s  3.7120us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060830000  [Unified Memory Memcpy HtoD]
2.32473s  149.34us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -                     1   0x200060000000  [Unified Memory GPU page faults]
2.32480s  3.4560us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060000000  [Unified Memory Memcpy HtoD]
2.32486s  3.5520us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060840000  [Unified Memory Memcpy HtoD]
2.32486s  5.6640us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          192.000000KB   0x200060850000  [Unified Memory Memcpy HtoD]
2.32488s  111.39us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -                   148   0x200060880000  [Unified Memory GPU page faults]
2.32497s  3.5520us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060880000  [Unified Memory Memcpy HtoD]
2.32498s  9.3120us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          448.000000KB   0x200060890000  [Unified Memory Memcpy HtoD]
2.32500s  69.120us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -                     1   0x200060a00000  [Unified Memory GPU page faults]
2.32505s  4.7360us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060a00000  [Unified Memory Memcpy HtoD]
2.32507s  42.400us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -                     1   0x200060a40000  [Unified Memory GPU page faults]
2.32510s  3.4240us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060a40000  [Unified Memory Memcpy HtoD]
2.32511s  125.12us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -                     1   0x200060940000  [Unified Memory GPU page faults]
2.32518s  6.3040us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          256.000000KB   0x200060900000  [Unified Memory Memcpy HtoD]
2.32519s  3.7760us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060940000  [Unified Memory Memcpy HtoD]
2.32519s  13.152us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          704.000000KB   0x200060950000  [Unified Memory Memcpy HtoD]
2.32522s  5.5680us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060ad0000  [Unified Memory Memcpy HtoD]
2.32522s  7.6800us           (1954 1 1)       (512 1 1)        16        0B        0B         -           -           -           -  Tesla V100-SXM2         1         7                     -                -  Kernel2(bool*, bool*, bool*, bool*, int) [427]
2.32523s  2.0800us                    -               -         -         -         -        1B  469.50KB/s      Device    Pageable  Tesla V100-SXM2         1         7                     -                -  [CUDA memcpy DtoH]
2.32528s  1.6000us                    -               -         -         -         -        1B  610.35KB/s    Pageable      Device  Tesla V100-SXM2         1         7                     -                -  [CUDA memcpy HtoD]
2.32529s  443.87us           (1954 1 1)       (512 1 1)        21        0B        0B         -           -           -           -  Tesla V100-SXM2         1         7                     -                -  Kernel(Node*, int*, bool*, bool*, bool*, int*, int) [431]
2.32531s  169.25us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -                     1   0x200060260000  [Unified Memory GPU page faults]
2.32539s  3.4240us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060260000  [Unified Memory Memcpy HtoD]
2.32543s  3.2640us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000606a0000  [Unified Memory Memcpy HtoD]
2.32546s  3.4240us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060aa0000  [Unified Memory Memcpy HtoD]
2.32548s  94.464us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -                     1   0x200060a10000  [Unified Memory GPU page faults]
2.32555s  3.6160us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060a10000  [Unified Memory Memcpy HtoD]
2.32556s  3.4240us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060a50000  [Unified Memory Memcpy HtoD]
2.32556s  3.6160us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060a80000  [Unified Memory Memcpy HtoD]
2.32557s  168.90us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -                     1   0x200060a70000  [Unified Memory GPU page faults]
2.32570s  4.3200us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          128.000000KB   0x200060a20000  [Unified Memory Memcpy HtoD]
2.32571s  3.7440us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060a60000  [Unified Memory Memcpy HtoD]
2.32571s  3.6800us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060a70000  [Unified Memory Memcpy HtoD]
2.32571s  3.5840us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060a90000  [Unified Memory Memcpy HtoD]
2.32572s  3.5520us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060ab0000  [Unified Memory Memcpy HtoD]
2.32572s  3.8080us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060ac0000  [Unified Memory Memcpy HtoD]
2.32572s  4.5760us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          128.000000KB   0x200060ae0000  [Unified Memory Memcpy HtoD]
2.32573s  7.4560us           (1954 1 1)       (512 1 1)        16        0B        0B         -           -           -           -  Tesla V100-SXM2         1         7                     -                -  Kernel2(bool*, bool*, bool*, bool*, int) [432]
2.32574s  2.0800us                    -               -         -         -         -        1B  469.50KB/s      Device    Pageable  Tesla V100-SXM2         1         7                     -                -  [CUDA memcpy DtoH]
2.32578s  1.6000us                    -               -         -         -         -        1B  610.35KB/s    Pageable      Device  Tesla V100-SXM2         1         7                     -                -  [CUDA memcpy HtoD]
2.32579s  415.07us           (1954 1 1)       (512 1 1)        21        0B        0B         -           -           -           -  Tesla V100-SXM2         1         7                     -                -  Kernel(Node*, int*, bool*, bool*, bool*, int*, int) [436]
2.32581s  406.11us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -                     1   0x200060080000  [Unified Memory GPU page faults]
2.32592s  5.5680us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          192.000000KB   0x200060080000  [Unified Memory Memcpy HtoD]
2.32593s  3.6800us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000600b0000  [Unified Memory Memcpy HtoD]
2.32593s  3.8720us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060180000  [Unified Memory Memcpy HtoD]
2.32593s  5.9200us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          192.000000KB   0x200060190000  [Unified Memory Memcpy HtoD]
2.32602s  3.5840us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000602f0000  [Unified Memory Memcpy HtoD]
2.32603s  3.5520us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060350000  [Unified Memory Memcpy HtoD]
2.32603s  4.7680us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          128.000000KB   0x200060390000  [Unified Memory Memcpy HtoD]
2.32604s  3.6480us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000603d0000  [Unified Memory Memcpy HtoD]
2.32613s  3.5200us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060440000  [Unified Memory Memcpy HtoD]
2.32613s  4.5120us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          128.000000KB   0x2000604f0000  [Unified Memory Memcpy HtoD]
2.32613s  3.7120us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060550000  [Unified Memory Memcpy HtoD]
2.32619s  5.5040us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          192.000000KB   0x200060640000  [Unified Memory Memcpy HtoD]
2.32620s  3.5200us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060670000  [Unified Memory Memcpy HtoD]
2.32620s  7.4240us           (1954 1 1)       (512 1 1)        16        0B        0B         -           -           -           -  Tesla V100-SXM2         1         7                     -                -  Kernel2(bool*, bool*, bool*, bool*, int) [437]
2.32621s  2.2720us                    -               -         -         -         -        1B  429.82KB/s      Device    Pageable  Tesla V100-SXM2         1         7                     -                -  [CUDA memcpy DtoH]
2.32625s  1.5680us                    -               -         -         -         -        1B  622.81KB/s    Pageable      Device  Tesla V100-SXM2         1         7                     -                -  [CUDA memcpy HtoD]
2.32626s  974.59us           (1954 1 1)       (512 1 1)        21        0B        0B         -           -           -           -  Tesla V100-SXM2         1         7                     -                -  Kernel(Node*, int*, bool*, bool*, bool*, int*, int) [441]
2.32627s  632.70us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -                     1   0x200060010000  [Unified Memory GPU page faults]
2.32646s  3.4240us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060010000  [Unified Memory Memcpy HtoD]
2.32646s  5.6960us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          192.000000KB   0x200060020000  [Unified Memory Memcpy HtoD]
2.32647s  4.9600us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          128.000000KB   0x200060050000  [Unified Memory Memcpy HtoD]
2.32647s  3.9680us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060070000  [Unified Memory Memcpy HtoD]
2.32648s  5.3440us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000600c0000  [Unified Memory Memcpy HtoD]
2.32648s  3.7760us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000600d0000  [Unified Memory Memcpy HtoD]
2.32649s  4.8320us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000600e0000  [Unified Memory Memcpy HtoD]
2.32649s  4.8320us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          128.000000KB   0x2000600f0000  [Unified Memory Memcpy HtoD]
2.32650s  5.7600us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          128.000000KB   0x200060110000  [Unified Memory Memcpy HtoD]
2.32650s  4.9920us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060130000  [Unified Memory Memcpy HtoD]
2.32651s  5.2480us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060140000  [Unified Memory Memcpy HtoD]
2.32651s  5.2160us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          128.000000KB   0x200060150000  [Unified Memory Memcpy HtoD]
2.32652s  3.4880us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060170000  [Unified Memory Memcpy HtoD]
2.32652s  3.5520us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000601c0000  [Unified Memory Memcpy HtoD]
2.32652s  4.6400us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          128.000000KB   0x2000601d0000  [Unified Memory Memcpy HtoD]
2.32653s  4.9920us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000601f0000  [Unified Memory Memcpy HtoD]
2.32663s  3.5840us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060230000  [Unified Memory Memcpy HtoD]
2.32663s  3.6160us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060270000  [Unified Memory Memcpy HtoD]
2.32663s  7.4560us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          320.000000KB   0x200060300000  [Unified Memory Memcpy HtoD]
2.32664s  4.7360us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          128.000000KB   0x200060360000  [Unified Memory Memcpy HtoD]
2.32665s  3.7440us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060380000  [Unified Memory Memcpy HtoD]
2.32665s  3.5520us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000603b0000  [Unified Memory Memcpy HtoD]
2.32665s  3.9680us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000603c0000  [Unified Memory Memcpy HtoD]
2.32666s  4.5120us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000603e0000  [Unified Memory Memcpy HtoD]
2.32666s  3.4560us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000603f0000  [Unified Memory Memcpy HtoD]
2.32681s  3.5520us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060400000  [Unified Memory Memcpy HtoD]
2.32681s  3.6160us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060410000  [Unified Memory Memcpy HtoD]
2.32682s  3.4880us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060420000  [Unified Memory Memcpy HtoD]
2.32682s  3.6480us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060430000  [Unified Memory Memcpy HtoD]
2.32682s  3.5200us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060450000  [Unified Memory Memcpy HtoD]
2.32683s  3.3920us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060460000  [Unified Memory Memcpy HtoD]
2.32683s  3.5520us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060470000  [Unified Memory Memcpy HtoD]
2.32683s  3.4560us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060480000  [Unified Memory Memcpy HtoD]
2.32684s  4.4160us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          128.000000KB   0x200060490000  [Unified Memory Memcpy HtoD]
2.32684s  3.5520us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000604b0000  [Unified Memory Memcpy HtoD]
2.32685s  3.3280us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000604c0000  [Unified Memory Memcpy HtoD]
2.32685s  4.8640us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          128.000000KB   0x2000604d0000  [Unified Memory Memcpy HtoD]
2.32685s  4.4800us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          128.000000KB   0x200060510000  [Unified Memory Memcpy HtoD]
2.32686s  3.3600us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060530000  [Unified Memory Memcpy HtoD]
2.32686s  3.4560us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060540000  [Unified Memory Memcpy HtoD]
2.32687s  3.5200us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060560000  [Unified Memory Memcpy HtoD]
2.32687s  3.5520us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060570000  [Unified Memory Memcpy HtoD]
2.32687s  3.6160us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060580000  [Unified Memory Memcpy HtoD]
2.32688s  3.5520us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060590000  [Unified Memory Memcpy HtoD]
2.32688s  3.6800us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000605a0000  [Unified Memory Memcpy HtoD]
2.32688s  3.3920us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000605b0000  [Unified Memory Memcpy HtoD]
2.32689s  6.5920us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          256.000000KB   0x2000605c0000  [Unified Memory Memcpy HtoD]
2.32691s  329.73us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -                     1   0x2000602e0000  [Unified Memory GPU page faults]
2.32701s  5.4400us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          192.000000KB   0x200060200000  [Unified Memory Memcpy HtoD]
2.32702s  4.5760us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          128.000000KB   0x200060240000  [Unified Memory Memcpy HtoD]
2.32702s  8.8320us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          384.000000KB   0x200060280000  [Unified Memory Memcpy HtoD]
2.32703s  3.5840us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x2000602e0000  [Unified Memory Memcpy HtoD]
2.32718s  3.5520us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060600000  [Unified Memory Memcpy HtoD]
2.32718s  5.5680us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          192.000000KB   0x200060610000  [Unified Memory Memcpy HtoD]
2.32719s  3.2960us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060680000  [Unified Memory Memcpy HtoD]
2.32719s  3.5840us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -           64.000000KB   0x200060690000  [Unified Memory Memcpy HtoD]
2.32720s  5.5360us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          192.000000KB   0x2000606b0000  [Unified Memory Memcpy HtoD]
2.32720s  7.3600us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          320.000000KB   0x2000606e0000  [Unified Memory Memcpy HtoD]
2.32721s  5.7920us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          192.000000KB   0x200060730000  [Unified Memory Memcpy HtoD]
2.32721s  5.8560us                    -               -         -         -         -         -           -           -           -  Tesla V100-SXM2         -         -          192.000000KB   0x200060760000  [Unified Memory Memcpy HtoD]
