==79048== NVPROF is profiling process 79048, command: ./lassen-executable/hotspot_11 512 2 2 ../../data/hotspot/temp_512 ../../data/hotspot/power_512 output.out
==79048== Profiling application: ./lassen-executable/hotspot_11 512 2 2 ../../data/hotspot/temp_512 ../../data/hotspot/power_512 output.out
WG size of kernel = 16 X 16
alloc FilesavingTemp
Number of allocated Data = 1
in api range: 0x200060000000 0x200060100000
alloc FilesavingPower
Number of allocated Data = 2
in api range: 0x200060100000 0x200060200000
pyramidHeight: 2
gridSize: [512, 512]
border:[2, 2]
blockGrid:[43, 43]
targetBlock:[12, 12]
Number of allocated Data = 3
in api range: 0x200060200000 0x200060300000
Start computing the transient temperature
Ending simulation
removing 0 1
==79048== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
836.05ms  182.27us                    -               -         -         -         -  Tesla V100-SXM2         -         -                   175   0x200060040000  [Unified Memory GPU page faults]
836.20ms  3.8400us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060040000  [Unified Memory Memcpy HtoD]
836.20ms  6.2720us                    -               -         -         -         -  Tesla V100-SXM2         -         -          192.000000KB   0x200060050000  [Unified Memory Memcpy HtoD]
836.21ms  4.1600us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060140000  [Unified Memory Memcpy HtoD]
836.21ms  6.9760us                    -               -         -         -         -  Tesla V100-SXM2         -         -          192.000000KB   0x200060150000  [Unified Memory Memcpy HtoD]
836.23ms  241.38us                    -               -         -         -         -  Tesla V100-SXM2         -         -                   171   0x200060200000  [Unified Memory GPU page faults]
836.47ms  101.73us                    -               -         -         -         -  Tesla V100-SXM2         -         -                   186   0x200060240000  [Unified Memory GPU page faults]
836.58ms  278.21us                    -               -         -         -         -  Tesla V100-SXM2         -         -                   149   0x200060080000  [Unified Memory GPU page faults]
836.81ms  5.4400us                    -               -         -         -         -  Tesla V100-SXM2         -         -          128.000000KB   0x200060080000  [Unified Memory Memcpy HtoD]
836.82ms  10.304us                    -               -         -         -         -  Tesla V100-SXM2         -         -          384.000000KB   0x2000600a0000  [Unified Memory Memcpy HtoD]
836.83ms  5.5680us                    -               -         -         -         -  Tesla V100-SXM2         -         -          128.000000KB   0x200060180000  [Unified Memory Memcpy HtoD]
836.83ms  10.464us                    -               -         -         -         -  Tesla V100-SXM2         -         -          384.000000KB   0x2000601a0000  [Unified Memory Memcpy HtoD]
836.86ms  84.544us                    -               -         -         -         -  Tesla V100-SXM2         -         -                   123   0x200060280000  [Unified Memory GPU page faults]
837.00ms         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060200000  [Unified Memory CPU page faults]
837.02ms  3.1040us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060200000  [Unified Memory Memcpy DtoH]
846.04ms  3.1040us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060210000  [Unified Memory Memcpy DtoH]
846.04ms         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060210000  [Unified Memory CPU page faults]
855.10ms  3.0720us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060220000  [Unified Memory Memcpy DtoH]
855.11ms         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060220000  [Unified Memory CPU page faults]
855.11ms  3.1040us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060230000  [Unified Memory Memcpy DtoH]
873.38ms         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060240000  [Unified Memory CPU page faults]
873.38ms  3.1040us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060240000  [Unified Memory Memcpy DtoH]
873.39ms  4.9600us                    -               -         -         -         -  Tesla V100-SXM2         -         -          192.000000KB   0x200060250000  [Unified Memory Memcpy DtoH]
908.82ms         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060280000  [Unified Memory CPU page faults]
908.83ms  3.0720us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060280000  [Unified Memory Memcpy DtoH]
908.83ms  9.5680us                    -               -         -         -         -  Tesla V100-SXM2         -         -          448.000000KB   0x200060290000  [Unified Memory Memcpy DtoH]

Regs: Number of registers used per CUDA thread. This number includes registers used internally by the CUDA driver and/or tools and can be more than what the compiler shows.
SSMem: Static shared memory allocated per CUDA block.
DSMem: Dynamic shared memory allocated per CUDA block.
