Executed Ipc Elapsed,Issued Warp Per Scheduler,Avg. Executed Instructions Per Scheduler,Block Size,Registers Per Thread,Threads,Waves Per SM,Block Limit Registers,Block Limit Warps,CPUPageFault,GPUPagePault,HtoD,DtoH,Costs,label,predicted label
0.61,0.17,10642.59,512,21,1000448,6.11,5,4,24,6,7816.0,0.0,"14.846047466472298, 14.938124233236156, 14.94382633527697, 14.882360346938773, 15.069065909620988, 15.507076373177844, 14.912892206997089",0,0
0.61,0.17,10642.59,512,21,1000448,6.11,5,4,6,49,1024.0,0.0,"13.034933577259475, 14.840821460641402, 17.517535580174922, 14.857270137026234, 14.991079629737607, 15.13759014285715, 14.720162344023324",0,0
0.61,0.17,10642.59,512,21,1000448,6.11,5,4,4,1,1024.0,0.0,"1.7288250291545189, 1.7766290583090387, 92.99815757725945, 1.7579971749271157, 2.5135960320699704, 2.560374918367347, 1.7638130816326538",0,0
0.61,0.17,10642.59,512,21,1000448,6.11,5,4,5,3,1024.0,0.0,"11.753050349854227, 14.305025390670552, 16.593200282798833, 14.278493361516038, 16.91704670553936, 17.02468522157434, 14.22789155976677",0,0
0.15,0.04,2707.78,512,16,1000448,6.11,8,4,24,6,7816.0,0.0,"1.5103912915451896, 1.5284955422740523, 1.5246929795918371, 1.52093784548105, 1.5053564169096212, 1.5190171603498546, 1.5262264985422747",4,4
0.15,0.04,2707.78,512,16,1000448,6.11,8,4,6,49,1024.0,0.0,"0.9847573673469389, 1.067036002915452, 3.895556329446065, 1.0811798192419824, 1.2642430320699711, 1.2688362769679304, 1.0735089067055392",1,1
0.15,0.04,2707.78,512,16,1000448,6.11,8,4,4,1,1024.0,0.0,"0.9062527084548103, 0.9535181603498546, 4.213662379008747, 0.9610300000000002, 1.233418559766764, 1.4018452769679304, 0.9653906501457724",1,1
0.15,0.04,2707.78,512,16,1000448,6.11,8,4,5,3,1024.0,0.0,"0.9669458571428572, 1.0307525685131198, 4.131376644314871, 1.0274160495626825, 1.2213694839650147, 1.2210615510204088, 1.0361955801749272",1,1
0.56,0.15,22622.66,512,21,1000448,6.11,5,4,24,6,7816.0,0.0,"14.846047466472298, 14.938124233236156, 14.94382633527697, 14.882360346938773, 15.069065909620988, 15.507076373177844, 14.912892206997089",0,0
0.56,0.15,22622.66,512,21,1000448,6.11,5,4,6,49,1024.0,0.0,"13.034933577259475, 14.840821460641402, 17.517535580174922, 14.857270137026234, 14.991079629737607, 15.13759014285715, 14.720162344023324",0,0
0.56,0.15,22622.66,512,21,1000448,6.11,5,4,4,1,1024.0,0.0,"1.7288250291545189, 1.7766290583090387, 92.99815757725945, 1.7579971749271157, 2.5135960320699704, 2.560374918367347, 1.7638130816326538",0,0
0.56,0.15,22622.66,512,21,1000448,6.11,5,4,5,3,1024.0,0.0,"11.753050349854227, 14.305025390670552, 16.593200282798833, 14.278493361516038, 16.91704670553936, 17.02468522157434, 14.22789155976677",0,0
0.15,0.04,2734.68,512,16,1000448,6.11,8,4,24,6,7816.0,0.0,"1.5103912915451896, 1.5284955422740523, 1.5246929795918371, 1.52093784548105, 1.5053564169096212, 1.5190171603498546, 1.5262264985422747",4,4
0.15,0.04,2734.68,512,16,1000448,6.11,8,4,6,49,1024.0,0.0,"0.9847573673469389, 1.067036002915452, 3.895556329446065, 1.0811798192419824, 1.2642430320699711, 1.2688362769679304, 1.0735089067055392",1,1
0.15,0.04,2734.68,512,16,1000448,6.11,8,4,4,1,1024.0,0.0,"0.9062527084548103, 0.9535181603498546, 4.213662379008747, 0.9610300000000002, 1.233418559766764, 1.4018452769679304, 0.9653906501457724",1,1
0.15,0.04,2734.68,512,16,1000448,6.11,8,4,5,3,1024.0,0.0,"0.9669458571428572, 1.0307525685131198, 4.131376644314871, 1.0274160495626825, 1.2213694839650147, 1.2210615510204088, 1.0361955801749272",1,1
0.38,0.1,26379.12,512,21,1000448,6.11,5,4,24,6,7816.0,0.0,"14.846047466472298, 14.938124233236156, 14.94382633527697, 14.882360346938773, 15.069065909620988, 15.507076373177844, 14.912892206997089",0,0
0.38,0.1,26379.12,512,21,1000448,6.11,5,4,6,49,1024.0,0.0,"13.034933577259475, 14.840821460641402, 17.517535580174922, 14.857270137026234, 14.991079629737607, 15.13759014285715, 14.720162344023324",0,0
0.38,0.1,26379.12,512,21,1000448,6.11,5,4,4,1,1024.0,0.0,"1.7288250291545189, 1.7766290583090387, 92.99815757725945, 1.7579971749271157, 2.5135960320699704, 2.560374918367347, 1.7638130816326538",0,0
0.38,0.1,26379.12,512,21,1000448,6.11,5,4,5,3,1024.0,0.0,"11.753050349854227, 14.305025390670552, 16.593200282798833, 14.278493361516038, 16.91704670553936, 17.02468522157434, 14.22789155976677",0,0
0.15,0.04,2734.63,512,16,1000448,6.11,8,4,24,6,7816.0,0.0,"1.5103912915451896, 1.5284955422740523, 1.5246929795918371, 1.52093784548105, 1.5053564169096212, 1.5190171603498546, 1.5262264985422747",4,4
0.15,0.04,2734.63,512,16,1000448,6.11,8,4,6,49,1024.0,0.0,"0.9847573673469389, 1.067036002915452, 3.895556329446065, 1.0811798192419824, 1.2642430320699711, 1.2688362769679304, 1.0735089067055392",1,1
0.15,0.04,2734.63,512,16,1000448,6.11,8,4,4,1,1024.0,0.0,"0.9062527084548103, 0.9535181603498546, 4.213662379008747, 0.9610300000000002, 1.233418559766764, 1.4018452769679304, 0.9653906501457724",1,1
0.15,0.04,2734.63,512,16,1000448,6.11,8,4,5,3,1024.0,0.0,"0.9669458571428572, 1.0307525685131198, 4.131376644314871, 1.0274160495626825, 1.2213694839650147, 1.2210615510204088, 1.0361955801749272",1,1
0.82,0.22,22989.79,512,21,1000448,6.11,5,4,24,6,7816.0,0.0,"14.846047466472298, 14.938124233236156, 14.94382633527697, 14.882360346938773, 15.069065909620988, 15.507076373177844, 14.912892206997089",0,0
0.82,0.22,22989.79,512,21,1000448,6.11,5,4,6,49,1024.0,0.0,"13.034933577259475, 14.840821460641402, 17.517535580174922, 14.857270137026234, 14.991079629737607, 15.13759014285715, 14.720162344023324",0,0
0.82,0.22,22989.79,512,21,1000448,6.11,5,4,4,1,1024.0,0.0,"1.7288250291545189, 1.7766290583090387, 92.99815757725945, 1.7579971749271157, 2.5135960320699704, 2.560374918367347, 1.7638130816326538",0,0
0.82,0.22,22989.79,512,21,1000448,6.11,5,4,5,3,1024.0,0.0,"11.753050349854227, 14.305025390670552, 16.593200282798833, 14.278493361516038, 16.91704670553936, 17.02468522157434, 14.22789155976677",0,0
0.24,0.08,1853.1,512,16,1000448,6.11,8,4,24,6,7816.0,0.0,"1.5103912915451896, 1.5284955422740523, 1.5246929795918371, 1.52093784548105, 1.5053564169096212, 1.5190171603498546, 1.5262264985422747",4,4
0.24,0.08,1853.1,512,16,1000448,6.11,8,4,6,49,1024.0,0.0,"0.9847573673469389, 1.067036002915452, 3.895556329446065, 1.0811798192419824, 1.2642430320699711, 1.2688362769679304, 1.0735089067055392",1,1
0.24,0.08,1853.1,512,16,1000448,6.11,8,4,4,1,1024.0,0.0,"0.9062527084548103, 0.9535181603498546, 4.213662379008747, 0.9610300000000002, 1.233418559766764, 1.4018452769679304, 0.9653906501457724",1,1
0.24,0.08,1853.1,512,16,1000448,6.11,8,4,5,3,1024.0,0.0,"0.9669458571428572, 1.0307525685131198, 4.131376644314871, 1.0274160495626825, 1.2213694839650147, 1.2210615510204088, 1.0361955801749272",1,1
0.67,0.19,5220.1,512,21,1000448,6.11,5,4,24,6,7816.0,0.0,"14.846047466472298, 14.938124233236156, 14.94382633527697, 14.882360346938773, 15.069065909620988, 15.507076373177844, 14.912892206997089",0,0
0.67,0.19,5220.1,512,21,1000448,6.11,5,4,6,49,1024.0,0.0,"13.034933577259475, 14.840821460641402, 17.517535580174922, 14.857270137026234, 14.991079629737607, 15.13759014285715, 14.720162344023324",0,0
0.67,0.19,5220.1,512,21,1000448,6.11,5,4,4,1,1024.0,0.0,"1.7288250291545189, 1.7766290583090387, 92.99815757725945, 1.7579971749271157, 2.5135960320699704, 2.560374918367347, 1.7638130816326538",0,0
0.67,0.19,5220.1,512,21,1000448,6.11,5,4,5,3,1024.0,0.0,"11.753050349854227, 14.305025390670552, 16.593200282798833, 14.278493361516038, 16.91704670553936, 17.02468522157434, 14.22789155976677",0,0
0.57,0.2,1271.15,512,16,1000448,6.11,8,4,24,6,7816.0,0.0,"1.5103912915451896, 1.5284955422740523, 1.5246929795918371, 1.52093784548105, 1.5053564169096212, 1.5190171603498546, 1.5262264985422747",4,4
0.57,0.2,1271.15,512,16,1000448,6.11,8,4,6,49,1024.0,0.0,"0.9847573673469389, 1.067036002915452, 3.895556329446065, 1.0811798192419824, 1.2642430320699711, 1.2688362769679304, 1.0735089067055392",1,1
0.57,0.2,1271.15,512,16,1000448,6.11,8,4,4,1,1024.0,0.0,"0.9062527084548103, 0.9535181603498546, 4.213662379008747, 0.9610300000000002, 1.233418559766764, 1.4018452769679304, 0.9653906501457724",1,1
0.57,0.2,1271.15,512,16,1000448,6.11,8,4,5,3,1024.0,0.0,"0.9669458571428572, 1.0307525685131198, 4.131376644314871, 1.0274160495626825, 1.2213694839650147, 1.2210615510204088, 1.0361955801749272",1,1
0.44,0.18,1177.52,512,21,1000448,6.11,5,4,24,6,7816.0,0.0,"14.846047466472298, 14.938124233236156, 14.94382633527697, 14.882360346938773, 15.069065909620988, 15.507076373177844, 14.912892206997089",0,0
0.44,0.18,1177.52,512,21,1000448,6.11,5,4,6,49,1024.0,0.0,"13.034933577259475, 14.840821460641402, 17.517535580174922, 14.857270137026234, 14.991079629737607, 15.13759014285715, 14.720162344023324",0,0
0.44,0.18,1177.52,512,21,1000448,6.11,5,4,4,1,1024.0,0.0,"1.7288250291545189, 1.7766290583090387, 92.99815757725945, 1.7579971749271157, 2.5135960320699704, 2.560374918367347, 1.7638130816326538",0,0
0.44,0.18,1177.52,512,21,1000448,6.11,5,4,5,3,1024.0,0.0,"11.753050349854227, 14.305025390670552, 16.593200282798833, 14.278493361516038, 16.91704670553936, 17.02468522157434, 14.22789155976677",0,0
0.01,0.05,7.5,512,16,4096,0.03,8,4,1,0,44.0,0.0,"0.0022535510204081603, 0.0022810553935860025, 0.0023193381924198225, 0.0022496384839650117, 0.002295402332361514, 0.0022737609329446028, 0.0023035306122448952",0,0
0.01,0.05,7.5,512,16,4096,0.03,8,4,0,0,0.0,0.0,"0.0023156122448979573, 0.0023531953352769626, 0.002112215743440232, 0.0022977784256559735, 0.0023078221574343977, 0.0022944198250728813, 0.002295233236151599",1,1
0.01,0.05,7.5,512,16,4096,0.03,8,4,0,0,0.0,0.0,"0.00226331778425656, 0.0023465422740524726, 0.002084227405247813, 0.0022548425655976624, 0.0023779008746355633, 0.0022793760932944547, 0.002370069970845476",1,1
0.01,0.05,7.5,512,16,4096,0.03,8,4,0,10,16.0,0.0,"0.0013669387755101993, 0.001365626822157429, 0.007782341107871717, 0.001365393586005825, 0.0013654227405247752, 0.0013651603498542214, 0.0013653935860058247",0,0
0.01,0.06,33.82,512,21,4096,0.03,5,4,1,0,44.0,0.0,"0.006957376093294457, 0.0070263790087463475, 0.007016708454810495, 0.006988600583090375, 0.007056364431486875, 0.006960865889212825, 0.007019026239067047",0,0
0.01,0.06,33.82,512,21,4096,0.03,5,4,0,0,0.0,0.0,"0.006192058309037904, 0.006263026239067045, 0.011629431486880462, 0.006214084548104951, 0.006262379008746349, 0.006220804664723027, 0.006243536443148675",0,0
0.01,0.06,33.82,512,21,4096,0.03,5,4,0,0,0.0,0.0,"0.006172542274052473, 0.006235679300291538, 0.011700215743440235, 0.0061460758017492624, 0.006338556851311943, 0.006187128279883374, 0.006245122448979584",0,0
0.01,0.06,33.82,512,21,4096,0.03,5,4,0,10,16.0,0.0,"0.006691043731778416, 0.006674784256559761, 0.00908120116618075, 0.006625253644314862, 0.006645209912536428, 0.006667457725947507, 0.006640370262390664",0,0
0.01,0.07,10.92,512,16,4096,0.03,8,4,1,0,44.0,0.0,"0.0022535510204081603, 0.0022810553935860025, 0.0023193381924198225, 0.0022496384839650117, 0.002295402332361514, 0.0022737609329446028, 0.0023035306122448952",0,0
0.01,0.07,10.92,512,16,4096,0.03,8,4,0,0,0.0,0.0,"0.0023156122448979573, 0.0023531953352769626, 0.002112215743440232, 0.0022977784256559735, 0.0023078221574343977, 0.0022944198250728813, 0.002295233236151599",1,1
0.01,0.07,10.92,512,16,4096,0.03,8,4,0,0,0.0,0.0,"0.00226331778425656, 0.0023465422740524726, 0.002084227405247813, 0.0022548425655976624, 0.0023779008746355633, 0.0022793760932944547, 0.002370069970845476",1,1
0.01,0.07,10.92,512,16,4096,0.03,8,4,0,10,16.0,0.0,"0.0013669387755101993, 0.001365626822157429, 0.007782341107871717, 0.001365393586005825, 0.0013654227405247752, 0.0013651603498542214, 0.0013653935860058247",0,0
0.03,0.11,89.05,512,21,4096,0.03,5,4,1,0,44.0,0.0,"0.006957376093294457, 0.0070263790087463475, 0.007016708454810495, 0.006988600583090375, 0.007056364431486875, 0.006960865889212825, 0.007019026239067047",0,0
0.03,0.11,89.05,512,21,4096,0.03,5,4,0,0,0.0,0.0,"0.006192058309037904, 0.006263026239067045, 0.011629431486880462, 0.006214084548104951, 0.006262379008746349, 0.006220804664723027, 0.006243536443148675",0,0
0.03,0.11,89.05,512,21,4096,0.03,5,4,0,0,0.0,0.0,"0.006172542274052473, 0.006235679300291538, 0.011700215743440235, 0.0061460758017492624, 0.006338556851311943, 0.006187128279883374, 0.006245122448979584",0,0
0.03,0.11,89.05,512,21,4096,0.03,5,4,0,10,16.0,0.0,"0.006691043731778416, 0.006674784256559761, 0.00908120116618075, 0.006625253644314862, 0.006645209912536428, 0.006667457725947507, 0.006640370262390664",0,0
0.01,0.07,11.2,512,16,4096,0.03,8,4,1,0,44.0,0.0,"0.0022535510204081603, 0.0022810553935860025, 0.0023193381924198225, 0.0022496384839650117, 0.002295402332361514, 0.0022737609329446028, 0.0023035306122448952",0,0
0.01,0.07,11.2,512,16,4096,0.03,8,4,0,0,0.0,0.0,"0.0023156122448979573, 0.0023531953352769626, 0.002112215743440232, 0.0022977784256559735, 0.0023078221574343977, 0.0022944198250728813, 0.002295233236151599",1,1
0.01,0.07,11.2,512,16,4096,0.03,8,4,0,0,0.0,0.0,"0.00226331778425656, 0.0023465422740524726, 0.002084227405247813, 0.0022548425655976624, 0.0023779008746355633, 0.0022793760932944547, 0.002370069970845476",1,1
0.01,0.07,11.2,512,16,4096,0.03,8,4,0,10,16.0,0.0,"0.0013669387755101993, 0.001365626822157429, 0.007782341107871717, 0.001365393586005825, 0.0013654227405247752, 0.0013651603498542214, 0.0013653935860058247",0,0
0.04,0.13,118.78,512,21,4096,0.03,5,4,1,0,44.0,0.0,"0.006957376093294457, 0.0070263790087463475, 0.007016708454810495, 0.006988600583090375, 0.007056364431486875, 0.006960865889212825, 0.007019026239067047",0,0
0.04,0.13,118.78,512,21,4096,0.03,5,4,0,0,0.0,0.0,"0.006192058309037904, 0.006263026239067045, 0.011629431486880462, 0.006214084548104951, 0.006262379008746349, 0.006220804664723027, 0.006243536443148675",0,0
0.04,0.13,118.78,512,21,4096,0.03,5,4,0,0,0.0,0.0,"0.006172542274052473, 0.006235679300291538, 0.011700215743440235, 0.0061460758017492624, 0.006338556851311943, 0.006187128279883374, 0.006245122448979584",0,0
0.04,0.13,118.78,512,21,4096,0.03,5,4,0,10,16.0,0.0,"0.006691043731778416, 0.006674784256559761, 0.00908120116618075, 0.006625253644314862, 0.006645209912536428, 0.006667457725947507, 0.006640370262390664",0,0
0.01,0.08,11.2,512,16,4096,0.03,8,4,1,0,44.0,0.0,"0.0022535510204081603, 0.0022810553935860025, 0.0023193381924198225, 0.0022496384839650117, 0.002295402332361514, 0.0022737609329446028, 0.0023035306122448952",0,0
0.01,0.08,11.2,512,16,4096,0.03,8,4,0,0,0.0,0.0,"0.0023156122448979573, 0.0023531953352769626, 0.002112215743440232, 0.0022977784256559735, 0.0023078221574343977, 0.0022944198250728813, 0.002295233236151599",1,1
0.01,0.08,11.2,512,16,4096,0.03,8,4,0,0,0.0,0.0,"0.00226331778425656, 0.0023465422740524726, 0.002084227405247813, 0.0022548425655976624, 0.0023779008746355633, 0.0022793760932944547, 0.002370069970845476",1,1
0.01,0.08,11.2,512,16,4096,0.03,8,4,0,10,16.0,0.0,"0.0013669387755101993, 0.001365626822157429, 0.007782341107871717, 0.001365393586005825, 0.0013654227405247752, 0.0013651603498542214, 0.0013653935860058247",0,0
0.04,0.13,107.92,512,21,4096,0.03,5,4,1,0,44.0,0.0,"0.006957376093294457, 0.0070263790087463475, 0.007016708454810495, 0.006988600583090375, 0.007056364431486875, 0.006960865889212825, 0.007019026239067047",0,0
0.04,0.13,107.92,512,21,4096,0.03,5,4,0,0,0.0,0.0,"0.006192058309037904, 0.006263026239067045, 0.011629431486880462, 0.006214084548104951, 0.006262379008746349, 0.006220804664723027, 0.006243536443148675",0,0
0.04,0.13,107.92,512,21,4096,0.03,5,4,0,0,0.0,0.0,"0.006172542274052473, 0.006235679300291538, 0.011700215743440235, 0.0061460758017492624, 0.006338556851311943, 0.006187128279883374, 0.006245122448979584",0,0
0.04,0.13,107.92,512,21,4096,0.03,5,4,0,10,16.0,0.0,"0.006691043731778416, 0.006674784256559761, 0.00908120116618075, 0.006625253644314862, 0.006645209912536428, 0.006667457725947507, 0.006640370262390664",0,0
0.01,0.08,10.36,512,16,4096,0.03,8,4,1,0,44.0,0.0,"0.0022535510204081603, 0.0022810553935860025, 0.0023193381924198225, 0.0022496384839650117, 0.002295402332361514, 0.0022737609329446028, 0.0023035306122448952",0,0
0.01,0.08,10.36,512,16,4096,0.03,8,4,0,0,0.0,0.0,"0.0023156122448979573, 0.0023531953352769626, 0.002112215743440232, 0.0022977784256559735, 0.0023078221574343977, 0.0022944198250728813, 0.002295233236151599",1,1
0.01,0.08,10.36,512,16,4096,0.03,8,4,0,0,0.0,0.0,"0.00226331778425656, 0.0023465422740524726, 0.002084227405247813, 0.0022548425655976624, 0.0023779008746355633, 0.0022793760932944547, 0.002370069970845476",1,1
0.01,0.08,10.36,512,16,4096,0.03,8,4,0,10,16.0,0.0,"0.0013669387755101993, 0.001365626822157429, 0.007782341107871717, 0.001365393586005825, 0.0013654227405247752, 0.0013651603498542214, 0.0013653935860058247",0,0
0.02,0.09,45.88,512,21,4096,0.03,5,4,1,0,44.0,0.0,"0.006957376093294457, 0.0070263790087463475, 0.007016708454810495, 0.006988600583090375, 0.007056364431486875, 0.006960865889212825, 0.007019026239067047",0,0
0.02,0.09,45.88,512,21,4096,0.03,5,4,0,0,0.0,0.0,"0.006192058309037904, 0.006263026239067045, 0.011629431486880462, 0.006214084548104951, 0.006262379008746349, 0.006220804664723027, 0.006243536443148675",0,0
0.02,0.09,45.88,512,21,4096,0.03,5,4,0,0,0.0,0.0,"0.006172542274052473, 0.006235679300291538, 0.011700215743440235, 0.0061460758017492624, 0.006338556851311943, 0.006187128279883374, 0.006245122448979584",0,0
0.02,0.09,45.88,512,21,4096,0.03,5,4,0,10,16.0,0.0,"0.006691043731778416, 0.006674784256559761, 0.00908120116618075, 0.006625253644314862, 0.006645209912536428, 0.006667457725947507, 0.006640370262390664",0,0
0.01,0.04,5.29,512,16,4096,0.03,8,4,1,0,44.0,0.0,"0.0022535510204081603, 0.0022810553935860025, 0.0023193381924198225, 0.0022496384839650117, 0.002295402332361514, 0.0022737609329446028, 0.0023035306122448952",0,0
