Executed Ipc Elapsed,Issued Warp Per Scheduler,Avg. Executed Instructions Per Scheduler,Block Size,Registers Per Thread,Threads,Waves Per SM,Block Limit Registers,Block Limit Warps,CPUPageFault,GPUPagePault,HtoD,DtoH,Costs,label,predicted label,Predicted cost,Predicted cost differential
0.18,0.08,6747.17,16,16,1048576,25.6,128,64,26,282,4160,4160,"0.09596830769230769, 0.096013, 0.09601328571428572, 0.09600957142857143, 0.09602057142857143, 0.09600857142857143, 0.09604957142857141",2,2,0.09601328571428572,0.0
0.18,0.08,6747.17,16,16,1048576,25.6,128,64,2,256,64,64,"0.09588407692307693, 0.09606085714285716, 0.0960432857142857, 0.09604485714285714, 0.09603271428571428, 0.09605257142857142, 0.09603671428571428",0,0,0.09588407692307693,0.0
0.18,0.08,6747.17,16,16,1048576,25.6,128,64,12,46,4096,0,"0.09602146938775515, 0.09585199999999999, 0.095903, 0.095917, 0.095847, 0.095927, 0.09589199999999999",0,0,0.09602146938775515,0.0
0.0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,"0.00467923076923077, 0.005151428571428571, 0.005152857142857142, 0.005138571428571429, 0.005121428571428571, 0.005137142857142857, 0.005127142857142857",0,0,0.00467923076923077,0.0
0.0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,"0.005088461538461537, 0.005014285714285714, 0.0050100000000000006, 0.005014285714285714, 0.00499, 0.005018571428571429, 0.005021428571428572",2,5,0.005018571428571429,8.571428571428098e-06
0.0,0.07,4.9,512,17,1024,0.01,5,4,12,46,4096,0,"0.005011632653061225, 0.0051600000000000005, 0.00515, 0.005229999999999999, 0.00515, 0.0052, 0.00517",0,0,0.005011632653061225,0.0
0.18,0.08,6733.62,16,16,1048576,25.6,128,64,26,282,4160,4160,"0.09596830769230769, 0.096013, 0.09601328571428572, 0.09600957142857143, 0.09602057142857143, 0.09600857142857143, 0.09604957142857141",2,0,0.09596830769230769,-4.497802197803158e-05
0.18,0.08,6733.62,16,16,1048576,25.6,128,64,2,256,64,64,"0.09588407692307693, 0.09606085714285716, 0.0960432857142857, 0.09604485714285714, 0.09603271428571428, 0.09605257142857142, 0.09603671428571428",0,0,0.09588407692307693,0.0
0.18,0.08,6733.62,16,16,1048576,25.6,128,64,12,46,4096,0,"0.09602146938775515, 0.09585199999999999, 0.095903, 0.095917, 0.095847, 0.095927, 0.09589199999999999",0,0,0.09602146938775515,0.0
0.0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,"0.00467923076923077, 0.005151428571428571, 0.005152857142857142, 0.005138571428571429, 0.005121428571428571, 0.005137142857142857, 0.005127142857142857",0,0,0.00467923076923077,0.0
0.0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,"0.005088461538461537, 0.005014285714285714, 0.0050100000000000006, 0.005014285714285714, 0.00499, 0.005018571428571429, 0.005021428571428572",2,5,0.005018571428571429,8.571428571428098e-06
0.0,0.07,4.9,512,17,1024,0.01,5,4,12,46,4096,0,"0.005011632653061225, 0.0051600000000000005, 0.00515, 0.005229999999999999, 0.00515, 0.0052, 0.00517",0,0,0.005011632653061225,0.0
0.18,0.09,6733.62,16,16,1048576,25.6,128,64,26,282,4160,4160,"0.09596830769230769, 0.096013, 0.09601328571428572, 0.09600957142857143, 0.09602057142857143, 0.09600857142857143, 0.09604957142857141",2,2,0.09601328571428572,0.0
0.18,0.09,6733.62,16,16,1048576,25.6,128,64,2,256,64,64,"0.09588407692307693, 0.09606085714285716, 0.0960432857142857, 0.09604485714285714, 0.09603271428571428, 0.09605257142857142, 0.09603671428571428",0,0,0.09588407692307693,0.0
0.18,0.09,6733.62,16,16,1048576,25.6,128,64,12,46,4096,0,"0.09602146938775515, 0.09585199999999999, 0.095903, 0.095917, 0.095847, 0.095927, 0.09589199999999999",0,0,0.09602146938775515,0.0
0.0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,"0.00467923076923077, 0.005151428571428571, 0.005152857142857142, 0.005138571428571429, 0.005121428571428571, 0.005137142857142857, 0.005127142857142857",0,0,0.00467923076923077,0.0
0.0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,"0.005088461538461537, 0.005014285714285714, 0.0050100000000000006, 0.005014285714285714, 0.00499, 0.005018571428571429, 0.005021428571428572",2,5,0.005018571428571429,8.571428571428098e-06
0.0,0.07,4.9,512,17,1024,0.01,5,4,12,46,4096,0,"0.005011632653061225, 0.0051600000000000005, 0.00515, 0.005229999999999999, 0.00515, 0.0052, 0.00517",0,0,0.005011632653061225,0.0
0.05,0.04,81.64,16,16,12544,0.31,128,64,2,56,64,64,"0.0051176923076923075, 0.004391428571428571, 0.004461428571428572, 0.0044542857142857144, 0.004572857142857142, 0.004528571428571428, 0.004485714285714286",1,1,0.004391428571428571,0.0
0.05,0.04,81.64,16,16,12544,0.31,128,64,0,0,0,0,"0.004502307692307693, 0.004671428571428571, 0.004608571428571428, 0.004644285714285714, 0.004695714285714287, 0.004762857142857143, 0.004654285714285714",4,0,0.004502307692307693,-0.00019340659340659396
0.05,0.04,81.64,16,16,12544,0.31,128,64,1,8,64,0,"0.0046581632653061224, 0.0044, 0.00439, 0.00456, 0.0044, 0.00439, 0.0044",0,0,0.0046581632653061224,0.0
0.0,0.05,0.99,512,17,512,0.0,5,4,2,56,64,64,"0.004298461538461538, 0.00484, 0.004892857142857143, 0.005012857142857143, 0.005102857142857143, 0.005074285714285714, 0.005004285714285714",0,0,0.004298461538461538,0.0
0.0,0.05,0.99,512,17,512,0.0,5,4,0,0,0,0,"0.004889230769230769, 0.004831428571428572, 0.004751428571428572, 0.004787142857142857, 0.004834285714285714, 0.004852857142857143, 0.004772857142857143",3,0,0.004889230769230769,0.00010208791208791198
0.0,0.05,0.99,512,17,512,0.0,5,4,1,8,64,0,"0.0048142857142857145, 0.0049, 0.00494, 0.00505, 0.0048200000000000005, 0.00483, 0.0049299999999999995",0,0,0.0048142857142857145,0.0
0.05,0.04,81.64,16,16,12544,0.31,128,64,2,56,64,64,"0.0051176923076923075, 0.004391428571428571, 0.004461428571428572, 0.0044542857142857144, 0.004572857142857142, 0.004528571428571428, 0.004485714285714286",1,1,0.004391428571428571,0.0
0.05,0.04,81.64,16,16,12544,0.31,128,64,0,0,0,0,"0.004502307692307693, 0.004671428571428571, 0.004608571428571428, 0.004644285714285714, 0.004695714285714287, 0.004762857142857143, 0.004654285714285714",4,0,0.004502307692307693,-0.00019340659340659396
0.05,0.04,81.64,16,16,12544,0.31,128,64,1,8,64,0,"0.0046581632653061224, 0.0044, 0.00439, 0.00456, 0.0044, 0.00439, 0.0044",0,0,0.0046581632653061224,0.0
0.0,0.05,0.99,512,17,512,0.0,5,4,2,56,64,64,"0.004298461538461538, 0.00484, 0.004892857142857143, 0.005012857142857143, 0.005102857142857143, 0.005074285714285714, 0.005004285714285714",0,0,0.004298461538461538,0.0
0.0,0.05,0.99,512,17,512,0.0,5,4,0,0,0,0,"0.004889230769230769, 0.004831428571428572, 0.004751428571428572, 0.004787142857142857, 0.004834285714285714, 0.004852857142857143, 0.004772857142857143",3,0,0.004889230769230769,0.00010208791208791198
0.0,0.05,0.99,512,17,512,0.0,5,4,1,8,64,0,"0.0048142857142857145, 0.0049, 0.00494, 0.00505, 0.0048200000000000005, 0.00483, 0.0049299999999999995",0,0,0.0048142857142857145,0.0
0.05,0.04,79.6,16,16,12544,0.31,128,64,2,56,64,64,"0.0051176923076923075, 0.004391428571428571, 0.004461428571428572, 0.0044542857142857144, 0.004572857142857142, 0.004528571428571428, 0.004485714285714286",1,1,0.004391428571428571,0.0
0.05,0.04,79.6,16,16,12544,0.31,128,64,0,0,0,0,"0.004502307692307693, 0.004671428571428571, 0.004608571428571428, 0.004644285714285714, 0.004695714285714287, 0.004762857142857143, 0.004654285714285714",4,0,0.004502307692307693,-0.00019340659340659396
0.05,0.04,79.6,16,16,12544,0.31,128,64,1,8,64,0,"0.0046581632653061224, 0.0044, 0.00439, 0.00456, 0.0044, 0.00439, 0.0044",0,0,0.0046581632653061224,0.0
0.0,0.06,0.99,512,17,512,0.0,5,4,2,56,64,64,"0.004298461538461538, 0.00484, 0.004892857142857143, 0.005012857142857143, 0.005102857142857143, 0.005074285714285714, 0.005004285714285714",0,0,0.004298461538461538,0.0
0.0,0.06,0.99,512,17,512,0.0,5,4,0,0,0,0,"0.004889230769230769, 0.004831428571428572, 0.004751428571428572, 0.004787142857142857, 0.004834285714285714, 0.004852857142857143, 0.004772857142857143",3,0,0.004889230769230769,0.00010208791208791198
0.0,0.06,0.99,512,17,512,0.0,5,4,1,8,64,0,"0.0048142857142857145, 0.0049, 0.00494, 0.00505, 0.0048200000000000005, 0.00483, 0.0049299999999999995",0,0,0.0048142857142857145,0.0
0.05,0.04,78.16,16,16,12544,0.31,128,64,2,56,64,64,"0.0051176923076923075, 0.004391428571428571, 0.004461428571428572, 0.0044542857142857144, 0.004572857142857142, 0.004528571428571428, 0.004485714285714286",1,1,0.004391428571428571,0.0
0.05,0.04,78.16,16,16,12544,0.31,128,64,0,0,0,0,"0.004502307692307693, 0.004671428571428571, 0.004608571428571428, 0.004644285714285714, 0.004695714285714287, 0.004762857142857143, 0.004654285714285714",4,0,0.004502307692307693,-0.00019340659340659396
0.05,0.04,78.16,16,16,12544,0.31,128,64,1,8,64,0,"0.0046581632653061224, 0.0044, 0.00439, 0.00456, 0.0044, 0.00439, 0.0044",0,0,0.0046581632653061224,0.0
0.0,0.05,0.99,512,17,512,0.0,5,4,2,56,64,64,"0.004298461538461538, 0.00484, 0.004892857142857143, 0.005012857142857143, 0.005102857142857143, 0.005074285714285714, 0.005004285714285714",0,0,0.004298461538461538,0.0
0.0,0.05,0.99,512,17,512,0.0,5,4,0,0,0,0,"0.004889230769230769, 0.004831428571428572, 0.004751428571428572, 0.004787142857142857, 0.004834285714285714, 0.004852857142857143, 0.004772857142857143",3,0,0.004889230769230769,0.00010208791208791198
0.0,0.05,0.99,512,17,512,0.0,5,4,1,8,64,0,"0.0048142857142857145, 0.0049, 0.00494, 0.00505, 0.0048200000000000005, 0.00483, 0.0049299999999999995",0,0,0.0048142857142857145,0.0
0.05,0.04,78.16,16,16,12544,0.31,128,64,2,56,64,64,"0.0051176923076923075, 0.004391428571428571, 0.004461428571428572, 0.0044542857142857144, 0.004572857142857142, 0.004528571428571428, 0.004485714285714286",1,1,0.004391428571428571,0.0
0.05,0.04,78.16,16,16,12544,0.31,128,64,0,0,0,0,"0.004502307692307693, 0.004671428571428571, 0.004608571428571428, 0.004644285714285714, 0.004695714285714287, 0.004762857142857143, 0.004654285714285714",4,0,0.004502307692307693,-0.00019340659340659396
0.05,0.04,78.16,16,16,12544,0.31,128,64,1,8,64,0,"0.0046581632653061224, 0.0044, 0.00439, 0.00456, 0.0044, 0.00439, 0.0044",0,0,0.0046581632653061224,0.0
0.0,0.05,0.99,512,17,512,0.0,5,4,2,56,64,64,"0.004298461538461538, 0.00484, 0.004892857142857143, 0.005012857142857143, 0.005102857142857143, 0.005074285714285714, 0.005004285714285714",0,0,0.004298461538461538,0.0
0.0,0.05,0.99,512,17,512,0.0,5,4,0,0,0,0,"0.004889230769230769, 0.004831428571428572, 0.004751428571428572, 0.004787142857142857, 0.004834285714285714, 0.004852857142857143, 0.004772857142857143",3,0,0.004889230769230769,0.00010208791208791198
0.0,0.05,0.99,512,17,512,0.0,5,4,1,8,64,0,"0.0048142857142857145, 0.0049, 0.00494, 0.00505, 0.0048200000000000005, 0.00483, 0.0049299999999999995",0,0,0.0048142857142857145,0.0
0.06,0.05,106.5,16,16,16384,0.4,128,64,4,64,128,128,"0.005499230769230769, 0.005412857142857143, 0.005427142857142857, 0.005491428571428572, 0.005597142857142858, 0.005472857142857142, 0.005457142857142857",0,0,0.005499230769230769,0.0
0.06,0.05,106.5,16,16,16384,0.4,128,64,2,8,64,64,"0.004890769230769231, 0.005748571428571429, 0.005527142857142857, 0.005711428571428571, 0.005698571428571429, 0.005718571428571428, 0.005584285714285714",0,0,0.004890769230769231,0.0
0.06,0.05,106.5,16,16,16384,0.4,128,64,1,1,64,0,"0.005559591836734694, 0.00473, 0.00526, 0.00491, 0.00473, 0.00473, 0.00472",6,6,0.00472,0.0
0.0,0.05,0.99,512,17,512,0.0,5,4,4,64,128,128,"0.004286923076923077, 0.004805714285714286, 0.004790000000000001, 0.004914285714285714, 0.004998571428571429, 0.004855714285714285, 0.004855714285714285",0,0,0.004286923076923077,0.0
0.0,0.05,0.99,512,17,512,0.0,5,4,2,8,64,64,"0.004814615384615385, 0.004772857142857143, 0.004622857142857143, 0.00474, 0.004704285714285715, 0.004738571428571428, 0.004661428571428572",4,0,0.004814615384615385,0.0001103296703296704
0.0,0.05,0.99,512,17,512,0.0,5,4,1,1,64,0,"0.004715510204081633, 0.0046700000000000005, 0.005229999999999999, 0.00498, 0.00479, 0.00475, 0.00479",0,0,0.004715510204081633,0.0
0.06,0.04,106.5,16,16,16384,0.4,128,64,4,64,128,128,"0.005499230769230769, 0.005412857142857143, 0.005427142857142857, 0.005491428571428572, 0.005597142857142858, 0.005472857142857142, 0.005457142857142857",0,0,0.005499230769230769,0.0
0.06,0.04,106.5,16,16,16384,0.4,128,64,2,8,64,64,"0.004890769230769231, 0.005748571428571429, 0.005527142857142857, 0.005711428571428571, 0.005698571428571429, 0.005718571428571428, 0.005584285714285714",0,0,0.004890769230769231,0.0
0.06,0.04,106.5,16,16,16384,0.4,128,64,1,1,64,0,"0.005559591836734694, 0.00473, 0.00526, 0.00491, 0.00473, 0.00473, 0.00472",6,6,0.00472,0.0
0.0,0.05,0.99,512,17,512,0.0,5,4,4,64,128,128,"0.004286923076923077, 0.004805714285714286, 0.004790000000000001, 0.004914285714285714, 0.004998571428571429, 0.004855714285714285, 0.004855714285714285",0,0,0.004286923076923077,0.0
0.0,0.05,0.99,512,17,512,0.0,5,4,2,8,64,64,"0.004814615384615385, 0.004772857142857143, 0.004622857142857143, 0.00474, 0.004704285714285715, 0.004738571428571428, 0.004661428571428572",4,0,0.004814615384615385,0.0001103296703296704
0.0,0.05,0.99,512,17,512,0.0,5,4,1,1,64,0,"0.004715510204081633, 0.0046700000000000005, 0.005229999999999999, 0.00498, 0.00479, 0.00475, 0.00479",0,0,0.004715510204081633,0.0
0.06,0.04,104.17,16,16,16384,0.4,128,64,4,64,128,128,"0.005499230769230769, 0.005412857142857143, 0.005427142857142857, 0.005491428571428572, 0.005597142857142858, 0.005472857142857142, 0.005457142857142857",0,0,0.005499230769230769,0.0
0.06,0.04,104.17,16,16,16384,0.4,128,64,2,8,64,64,"0.004890769230769231, 0.005748571428571429, 0.005527142857142857, 0.005711428571428571, 0.005698571428571429, 0.005718571428571428, 0.005584285714285714",0,0,0.004890769230769231,0.0
0.06,0.04,104.17,16,16,16384,0.4,128,64,1,1,64,0,"0.005559591836734694, 0.00473, 0.00526, 0.00491, 0.00473, 0.00473, 0.00472",6,6,0.00472,0.0
0.0,0.05,0.99,512,17,512,0.0,5,4,4,64,128,128,"0.004286923076923077, 0.004805714285714286, 0.004790000000000001, 0.004914285714285714, 0.004998571428571429, 0.004855714285714285, 0.004855714285714285",0,0,0.004286923076923077,0.0
0.0,0.05,0.99,512,17,512,0.0,5,4,2,8,64,64,"0.004814615384615385, 0.004772857142857143, 0.004622857142857143, 0.00474, 0.004704285714285715, 0.004738571428571428, 0.004661428571428572",4,0,0.004814615384615385,0.0001103296703296704
0.0,0.05,0.99,512,17,512,0.0,5,4,1,1,64,0,"0.004715510204081633, 0.0046700000000000005, 0.005229999999999999, 0.00498, 0.00479, 0.00475, 0.00479",0,0,0.004715510204081633,0.0
0.06,0.05,102.53,16,16,16384,0.4,128,64,4,64,128,128,"0.005499230769230769, 0.005412857142857143, 0.005427142857142857, 0.005491428571428572, 0.005597142857142858, 0.005472857142857142, 0.005457142857142857",0,0,0.005499230769230769,0.0
0.06,0.05,102.53,16,16,16384,0.4,128,64,2,8,64,64,"0.004890769230769231, 0.005748571428571429, 0.005527142857142857, 0.005711428571428571, 0.005698571428571429, 0.005718571428571428, 0.005584285714285714",0,0,0.004890769230769231,0.0
0.06,0.05,102.53,16,16,16384,0.4,128,64,1,1,64,0,"0.005559591836734694, 0.00473, 0.00526, 0.00491, 0.00473, 0.00473, 0.00472",6,6,0.00472,0.0
0.0,0.05,0.99,512,17,512,0.0,5,4,4,64,128,128,"0.004286923076923077, 0.004805714285714286, 0.004790000000000001, 0.004914285714285714, 0.004998571428571429, 0.004855714285714285, 0.004855714285714285",0,0,0.004286923076923077,0.0
0.0,0.05,0.99,512,17,512,0.0,5,4,2,8,64,64,"0.004814615384615385, 0.004772857142857143, 0.004622857142857143, 0.00474, 0.004704285714285715, 0.004738571428571428, 0.004661428571428572",4,0,0.004814615384615385,0.0001103296703296704
0.0,0.05,0.99,512,17,512,0.0,5,4,1,1,64,0,"0.004715510204081633, 0.0046700000000000005, 0.005229999999999999, 0.00498, 0.00479, 0.00475, 0.00479",0,0,0.004715510204081633,0.0
0.06,0.04,102.53,16,16,16384,0.4,128,64,4,64,128,128,"0.005499230769230769, 0.005412857142857143, 0.005427142857142857, 0.005491428571428572, 0.005597142857142858, 0.005472857142857142, 0.005457142857142857",0,0,0.005499230769230769,0.0
0.06,0.04,102.53,16,16,16384,0.4,128,64,2,8,64,64,"0.004890769230769231, 0.005748571428571429, 0.005527142857142857, 0.005711428571428571, 0.005698571428571429, 0.005718571428571428, 0.005584285714285714",0,0,0.004890769230769231,0.0
0.06,0.04,102.53,16,16,16384,0.4,128,64,1,1,64,0,"0.005559591836734694, 0.00473, 0.00526, 0.00491, 0.00473, 0.00473, 0.00472",6,6,0.00472,0.0
